2026-02-24 04:20:14 | DEBUG    | agent.vision_element_detector       |   OCR element_16: 0.028s — ''
2026-02-24 04:20:14 | DEBUG    | agent.vision_element_detector       |   OCR element_17: 0.023s — ''
2026-02-24 04:20:14 | DEBUG    | agent.vision_element_detector       |   OCR element_18: 0.018s — ''
2026-02-24 04:20:14 | DEBUG    | agent.vision_element_detector       |   OCR element_19: 0.035s — ''
2026-02-24 04:20:14 | DEBUG    | agent.vision_element_detector       |   OCR element_20: 0.024s — ''
2026-02-24 04:20:17 | DEBUG    | agent.vision_element_detector       |   OCR element_21: 2.296s — 'Sydney New Yock 00/4 Hong Kong Catalina Madrid SALEI'
2026-02-24 04:20:17 | DEBUG    | agent.vision_element_detector       |   OCR element_22: 0.015s — ''
2026-02-24 04:20:17 | DEBUG    | agent.vision_element_detector       |   OCR element_23: 0.029s — '='
2026-02-24 04:20:18 | DEBUG    | agent.vision_element_detector       |   OCR element_24: 0.917s — 'Sydney New York 00/4 Hong Kong Catalina Madrid'
2026-02-24 04:20:18 | DEBUG    | agent.vision_element_detector       |   OCR element_25: 0.017s — ''
2026-02-24 04:20:18 | DEBUG    | agent.vision_element_detector       |   OCR element_26: 0.016s — ''
2026-02-24 04:20:18 | DEBUG    | agent.vision_element_detector       |   OCR element_27: 0.014s — ''
2026-02-24 04:20:18 | DEBUG    | agent.vision_element_detector       |   OCR element_28: 0.014s — ''
2026-02-24 04:20:18 | DEBUG    | agent.vision_element_detector       |   OCR element_29: 0.017s — ''
2026-02-24 04:20:18 | DEBUG    | agent.vision_element_detector       |   OCR element_30: 0.015s — ''
2026-02-24 04:20:18 | DEBUG    | agent.vision_element_detector       |   OCR element_31: 0.019s — '202'
2026-02-24 04:20:18 | DEBUG    | agent.vision_element_detector       |   OCR element_32: 0.014s — ''
2026-02-24 04:20:18 | DEBUG    | agent.vision_element_detector       |   OCR element_33: 0.014s — ''
2026-02-24 04:20:18 | DEBUG    | agent.vision_element_detector       |   OCR total: 3.988s for 33 elements
2026-02-24 04:20:18 | INFO     | agent.vision_element_detector       | Detection done: 33 elements in 4.30s
2026-02-24 04:20:27 | INFO     | agent.appium_manager                | 👆 CLICK (Appium): (750, 620) duration=0.1s
2026-02-24 04:20:29 | DEBUG    | agent.vision_element_detector       |   YOLO inference: 0.198s — 31 boxes
2026-02-24 04:20:29 | DEBUG    | agent.vision_element_detector       |   OCR element_1: 0.034s — ''
2026-02-24 04:20:29 | DEBUG    | agent.vision_element_detector       |   OCR element_2: 0.049s — '30 Sale'
2026-02-24 04:20:29 | DEBUG    | agent.vision_element_detector       |   OCR element_3: 0.018s — ''
2026-02-24 04:20:30 | DEBUG    | agent.vision_element_detector       |   OCR element_4: 0.053s — 'B 202 Sale'
2026-02-24 04:20:30 | DEBUG    | agent.vision_element_detector       |   OCR element_5: 0.023s — ''
2026-02-24 04:20:30 | DEBUG    | agent.vision_element_detector       |   OCR element_6: 0.018s — ''
2026-02-24 04:20:30 | DEBUG    | agent.vision_element_detector       |   OCR element_7: 0.022s — ''
2026-02-24 04:20:30 | DEBUG    | agent.vision_element_detector       |   OCR element_8: 0.045s — ''
2026-02-24 04:20:30 | DEBUG    | agent.vision_element_detector       |   OCR element_9: 0.023s — ''
2026-02-24 04:20:30 | DEBUG    | agent.vision_element_detector       |   OCR element_10: 0.045s — ''
2026-02-24 04:20:30 | DEBUG    | agent.vision_element_detector       |   OCR element_11: 0.024s — ''
2026-02-24 04:20:30 | DEBUG    | agent.vision_element_detector       |   OCR element_12: 0.025s — ''
2026-02-24 04:20:30 | DEBUG    | agent.vision_element_detector       |   OCR element_13: 0.036s — 'SALEI'
2026-02-24 04:20:30 | DEBUG    | agent.vision_element_detector       |   OCR element_14: 0.041s — '4d 21h'
2026-02-24 04:20:30 | DEBUG    | agent.vision_element_detector       |   OCR element_15: 0.029s — '='
2026-02-24 04:20:30 | DEBUG    | agent.vision_element_detector       |   OCR element_16: 0.028s — ''
2026-02-24 04:20:30 | DEBUG    | agent.vision_element_detector       |   OCR element_17: 0.022s — ''
2026-02-24 04:20:30 | DEBUG    | agent.vision_element_detector       |   OCR element_18: 0.034s — ''
2026-02-24 04:20:32 | DEBUG    | agent.vision_element_detector       |   OCR element_19: 1.888s — 'Sydney New York 00/4 Hong Kong Catalina Madrid SALEI'
2026-02-24 04:20:32 | DEBUG    | agent.vision_element_detector       |   OCR element_20: 0.023s — ''
2026-02-24 04:20:32 | DEBUG    | agent.vision_element_detector       |   OCR element_21: 0.028s — '='
2026-02-24 04:20:32 | DEBUG    | agent.vision_element_detector       |   OCR element_22: 0.017s — ''
2026-02-24 04:20:32 | DEBUG    | agent.vision_element_detector       |   OCR element_23: 0.020s — '6)'
2026-02-24 04:20:32 | DEBUG    | agent.vision_element_detector       |   OCR element_24: 0.015s — ''
2026-02-24 04:20:32 | DEBUG    | agent.vision_element_detector       |   OCR element_25: 0.016s — ''
2026-02-24 04:20:32 | DEBUG    | agent.vision_element_detector       |   OCR element_26: 0.025s — '4d 21h'
2026-02-24 04:20:32 | DEBUG    | agent.vision_element_detector       |   OCR element_27: 0.014s — ''
2026-02-24 04:20:32 | DEBUG    | agent.vision_element_detector       |   OCR element_28: 0.016s — ''
2026-02-24 04:20:32 | DEBUG    | agent.vision_element_detector       |   OCR element_29: 0.015s — ''
2026-02-24 04:20:32 | DEBUG    | agent.vision_element_detector       |   OCR element_30: 0.015s — ''
2026-02-24 04:20:32 | DEBUG    | agent.vision_element_detector       |   OCR element_31: 0.014s — ''
2026-02-24 04:20:32 | DEBUG    | agent.vision_element_detector       |   OCR total: 2.678s for 31 elements
2026-02-24 04:20:32 | INFO     | agent.vision_element_detector       | Detection done: 31 elements in 2.99s
2026-02-24 04:20:39 | INFO     | agent.appium_manager                | 👆 CLICK (Appium): (700, 650) duration=0.1s
2026-02-24 04:20:42 | DEBUG    | agent.vision_element_detector       |   YOLO inference: 0.187s — 43 boxes
2026-02-24 04:20:42 | DEBUG    | agent.vision_element_detector       |   OCR element_1: 0.167s — 'Super'
2026-02-24 04:20:42 | DEBUG    | agent.vision_element_detector       |   OCR element_2: 0.160s — 'classic'
2026-02-24 04:20:42 | DEBUG    | agent.vision_element_detector       |   OCR element_3: 0.031s — ''
2026-02-24 04:20:42 | DEBUG    | agent.vision_element_detector       |   OCR element_4: 0.040s — 'SALE'
2026-02-24 04:20:42 | DEBUG    | agent.vision_element_detector       |   OCR element_5: 0.032s — 'B'
2026-02-24 04:20:42 | DEBUG    | agent.vision_element_detector       |   OCR element_6: 0.015s — ''
2026-02-24 04:20:42 | DEBUG    | agent.vision_element_detector       |   OCR element_7: 0.021s — ''
2026-02-24 04:20:42 | DEBUG    | agent.vision_element_detector       |   OCR element_8: 0.018s — ''
2026-02-24 04:20:42 | DEBUG    | agent.vision_element_detector       |   OCR element_9: 0.049s — ''
2026-02-24 04:20:42 | DEBUG    | agent.vision_element_detector       |   OCR element_10: 0.023s — '='
2026-02-24 04:20:42 | DEBUG    | agent.vision_element_detector       |   OCR element_11: 0.053s — ''
2026-02-24 04:20:42 | DEBUG    | agent.vision_element_detector       |   OCR element_12: 0.020s — ''
2026-02-24 04:20:42 | DEBUG    | agent.vision_element_detector       |   OCR element_13: 0.022s — ''
2026-02-24 04:20:43 | DEBUG    | agent.vision_element_detector       |   OCR element_14: 0.029s — ''
2026-02-24 04:20:43 | DEBUG    | agent.vision_element_detector       |   OCR element_15: 0.018s — ''
2026-02-24 04:20:43 | DEBUG    | agent.vision_element_detector       |   OCR element_16: 0.029s — ''
2026-02-24 04:20:43 | DEBUG    | agent.vision_element_detector       |   OCR element_17: 0.018s — ''
2026-02-24 04:20:43 | DEBUG    | agent.vision_element_detector       |   OCR element_18: 0.038s — '4d 21h'
2026-02-24 04:20:43 | DEBUG    | agent.vision_element_detector       |   OCR element_19: 0.017s — ''
2026-02-24 04:20:43 | DEBUG    | agent.vision_element_detector       |   OCR element_20: 0.044s — '30 Sale'
2026-02-24 04:20:43 | DEBUG    | agent.vision_element_detector       |   OCR element_21: 0.055s — 'B 202 Sale'
2026-02-24 04:20:43 | DEBUG    | agent.vision_element_detector       |   OCR element_22: 0.015s — ''
2026-02-24 04:20:43 | DEBUG    | agent.vision_element_detector       |   OCR element_23: 0.024s — '2'
2026-02-24 04:20:43 | DEBUG    | agent.vision_element_detector       |   OCR element_24: 0.022s — ''
2026-02-24 04:20:43 | DEBUG    | agent.vision_element_detector       |   OCR element_25: 0.022s — ''
2026-02-24 04:20:43 | DEBUG    | agent.vision_element_detector       |   OCR element_26: 0.021s — ''
2026-02-24 04:20:43 | DEBUG    | agent.vision_element_detector       |   OCR element_27: 0.026s — '4d 21h'
2026-02-24 04:20:43 | DEBUG    | agent.vision_element_detector       |   OCR element_28: 0.015s — '30'
2026-02-24 04:20:43 | DEBUG    | agent.vision_element_detector       |   OCR element_29: 0.015s — ''
2026-02-24 04:20:44 | DEBUG    | agent.vision_element_detector       |   OCR element_30: 0.800s — 'Catalina @ 4/4 2 classic Super'
2026-02-24 04:20:44 | DEBUG    | agent.vision_element_detector       |   OCR element_31: 0.019s — '202'
2026-02-24 04:20:44 | DEBUG    | agent.vision_element_detector       |   OCR element_32: 0.014s — ''
2026-02-24 04:20:44 | DEBUG    | agent.vision_element_detector       |   OCR element_33: 0.014s — ''
2026-02-24 04:20:44 | DEBUG    | agent.vision_element_detector       |   OCR element_34: 0.013s — ''
2026-02-24 04:20:44 | DEBUG    | agent.vision_element_detector       |   OCR element_35: 0.063s — 'B 202 Sale'
2026-02-24 04:20:44 | DEBUG    | agent.vision_element_detector       |   OCR element_36: 0.016s — ''
2026-02-24 04:20:44 | DEBUG    | agent.vision_element_detector       |   OCR element_37: 0.014s — ''
